Judul,penulis,dosen_pembimbing_1,dosen_pembimbing_2,abstrak
ANALISIS PENGARUH SEKTOR INDUSTRI PARIWISATA TERHADAP PENDAPATAN ASLI DAERAH ANTARA SEBELUM DAN SESUDAH ADANYA JEMBATAN SURAMADU (Studi Pada Kabupaten di Madura Tahun Anggaran 2005-2012),Penulis : Zamroni,"Dosen Pembimbing I : Junaidi,S.E.,M.Si.,Ak","Dosen Pembimbing II :Emi Rahmawati,S.E.,M.Si","Penelitian ini bertujuan untuk mengetahui pengaruh pajak hotel, pajak restoran dan pajak hiburan terhadap pendapatan asli daerah. Dengan mengambil sampel sebanyak empat Kabupaten/Kota se Pulau Madura. Penelitian ini menggunakan pendekatan kuantitatif, yaitu penelitian yang menitikberatkan pada pengujian hipotesis. Dengan menggunakan metode uji asumsi klasik, regresi linier berganda, t-test independent,  koefisien determinasi, uji t, uji F. dan pengelolaan data dengan program spss versi 16,0 for windows
	Hasil dari penelitian ini yaitu secara parsial (uji t) variabel independen berpengaruh signifikan terhadap variabel dependen yaitu pajak hotel dengan nilai signifikansi (0,033) dan pajak restoran dengan nilai signifikansi (0,001) sedangkan Pajak hiburan bepengaruh tidak signifikan dengan nilai signifikansi (0,072). Sedangkan hasil uji t-test Independent di lihat dari nilai signifikansinya sebesar 0,007 hal ini menunjukkan bahwa terdapat perbedaan kontribusi sektor industri pariwisata terhadap pendapatan asli daerah antara sebelum dan sesudah adanya jembatan Suramadu. Secara simultan (uji F) semua variabel independen berpengaruh signifikan terhadap variabel dependen dengan nilai signifikansi (0,000)
	Hasil perhitungan pada penelitian ini nilai koefisien determinasi adalah 0,598 atau 59,8% nilai ini menunjukkan bahwa 59,8% besarnya pendapatan asli daerah dipengaruhi variabel independen sedangkan 40,2% besarnya pendapatan asli daerah dipengaruhi oleh variabel lain diluar dari penelitian.


Kata Kunci :  	Pajak Hotel, Pajak Restoran, Pajak Hiburan dan Pendapatan asli Daerah.
"
Analisis Manajemen Risiko Pembiayaan Murabahah Dan Mudharabah Pada Bank Syariah Mandiri (persero) Cabang Bangkalan.,Penulis : MELLY MALIANI YULIANDARI,"Dosen Pembimbing I : Prof. Dr. H. Moh. Nizarul Alim, SE., M.Si., Ak","Dosen Pembimbing II :Muhammad Syam Kusufi, SE., MSc","Melly Maliani Yuliandari, Analisis Manajemen Risiko Pembiayaan Murabahah Dan Mudharabah Pada Bank Syariah Mandiri Cabang Bangkalan. Dibawah bimbingan Prof. Dr. H. Moh. Nizarul Alim, SE., M.Si., Ak dan Muhammad Syam Kusufi, SE., MSc.
Manajemen risiko perbankan di Indonesia pada mulanya kurang mendapat perhatian yang serius dan proporsional hingga akhir terjadinya krisis moneter di Indonesia. Oleh karena itu penelitian ini memiliki tujuan Untuk mengetahui manajemen risiko pada Bank Syariah Mandiri Cabang Bangkalan, Untuk mengetahui faktor risiko apa saja yang dihadapi pembiayaan murabahah dan mudharabah. Selain itu Untuk mengetahui perbandingan antara risiko pembiayaan murabahah dengan risiko pembiayaan mudharabah.
Penelitian ini dilakukan secara kualitatif dengan pendekatan deskriptif. Pengumpulan data pada penelitian ini melalui wawancara dan dokumentasi serta dianalisis dengan pembiayaan yang berbasis Natural Certainty Contract (NCC) dan Pembiayaan yang berbasis Natural Uncertainty Contracts (NUC).
Hasil dari penelitian ini menunjukkan bahwa dalam menerapkan suatu manajemen risiko di BSM Cabang Bangkalan tidak lepas dari ketentuan yang diberlakukan mencakup berbagai macam kegiatan mengidentifikasi, mengevaluasi dan menyetujui kebijakan manajemen risiko.
Kata kunci: Manajemen Risiko, Murabahah, dan Mudharabah."
FAKTOR-FAKTOR YANG MEMPENGARUHI KEBIJAKAN DIVIDEN PERUSAHAAN MANUFAKTUR YANG TERDAFTAR PADA BURSA EFEK INDONESIA :GROWTH SEBAGAI VARIABEL MODERATING,Penulis : Rinto Agustina,"Dosen Pembimbing I : Fariyana Kusumawati,S.E.,M.Si ","Dosen Pembimbing II :Anita Carolina,S.E.,MBusAdv.,Ak.QIA, CA","ABSTRAK

       Penelitian ini bertujuan untuk menguji dan menganalisis pengaruh EPS, NPM, IT, DER, CR dan Growth sebagai variabel moderating terhadap DPR. Penelitian ini dilakukan menggunakan data sekunder berupa laporan keuangan yang diperoleh melalui Indonesia Capital Market Directory (ICMD) tahun 2008-2012. Populasi dalam penelitian ini adalah perusahaan yang terdaftar di BEI pada tahun 2008-2012.
      Teknik pengambilan sampel dalam penelitian ini menggunakan purposive sampling, sampel sebanyak 13 perusahaan. Teknik analisis data yang digunakan Analisis Regresi Linier Berganda dan Moderated Regression Analysis (MRA) dengan pendekatan uji residual. 
       Hasil penelitian ini menunjukkan bahwa EPS, NPM, DER tidak berpengaruh terhadap DPR. Sedangkan IT dan CR berpengaruh terhadap DPR. Dan Growth tidak mampu memoderasi pengaruh EPS, NPM, IT, DER dan CR terhadap DPR. 

Kata kunci  : Earning Pershare (EPS), Net Profit Margin (NPM), Investory turnover (IT), Debt To Equity Ratio (DER), Current Ratio (CR ), Growth dan Devidend Payout Ratio (DPR)
"
PERSEPSI MAHASISWA AKUNTANSI TERHADAP AKUNTAN FORENSIK: DALAM PERSPEKTIF GENDER DAN INDEKS PRESTASI KUMULATIF (IPK),Penulis : INDAH QURROTUL AINI,Dosen Pembimbing I : NURUL HERAWATI,Dosen Pembimbing II :ANIS WULANDARI,"Penelitian ini bertujuan untuk mengidentifikasi perbedaan persepsi antara mahasiswa akuntansi laki-laki dengan mahasiswa akuntansi perempuan terhadap akuntan forensik, dan perbedaan persepsi antara mahasiswa akuntansi yang mempunyai IPK >3,00 dengan mahasiswa akuntansi yang mempunyai IPK < 3,00 terhadap akuntan forensik di Universitas Trunojoyo Madura dan STIE Perbanas Surabaya. Akuntan forensik dilihat dari 5 sisi, yaitu motivasi karir, bidang ilmu, aktivitas kelompok, dan kesuksesan materi. Penelitian ini menggunakan paradigma penelitian kuantitatif dengan menggunakan kuesioner dan kepustakaan. Sampel penelitian ini adalah mahasiswa akuntansi yang sedang atau sudah menempuh mata kuliah akuntansi forensik atau audit fraud sejumlah 100 mahasiswa akuntansi di Universitas Trunojoyo Madura dan STIE Perbanas Surabaya. Teknik pengambilan sampel menggunakan teknik sampling dan dianalisis dengan menggunakan uji beda Man Whitney. Hasil penelitian menunjukkan tidak terdapat perbedaan persepsi antara mahasiswa akuntansi laki-laki dengan mahasiswa akuntansi perempuan terhadap akuntan forensik sebagai motivasi karir, bidang ilmu, aktivitas kelompok, dan kesuksesan materi. Terdapat perbedan persepsi antara mahasiswa akuntansi laki-laki dengan mahasiswa akuntansi perempuan terhadap akuntan forensik sebagai profesi, dan tidak terdapat perbedaan persepsi antara mahasiswa akuntansi yang mempunyai IPK >3,00 dengan mahasiswa akuntansi yang mempunyai IPK < 3,00 terhadap akuntan forensik sebagai motivasi karir, bidang ilmu, profesi, aktivitas kelompok, serta kesuksesan materi. Implikasi dari penelitian ini memberikan nilai lebih pada efektivitas penerapan metode pembelajaran agar mahasiswa memiliki minat terhadap akuntan forensik.

Kata Kunci: motivasi karir, bidang ilmu, profesi, aktivitas kelompok,  kesuksesan materi, akuntan forensik.
"
ANALISIS LAPORAN AKUNTABILITAS KINERJA INSTANSI PEMERINTAHAN (LAKIP) SEBAGAI PENGUKURAN KINERJA PADA PENGADILAN NEGERI MOJOKERTO,Penulis : MOHAMAD EKO PRASETIYONO,"Dosen Pembimbing I : H MOHAMAD DJASULI, SE, M.SI,QIA","Dosen Pembimbing II :RAHMAT ZUHDI, SE, M.SA ,AK,QIA","ANALISIS LAPORAN AKUNTABILITAS KINERJA INSTANSI PEMERINTAHAN (LAKIP) SEBAGAI PENGUKURAN KINERJA PADA PENGADILAN NEGERI MOJOKERTO

Oleh:

MOHAMAD EKO PRASETIYONO
H. MOHAMAD DJASULI. SE, M.SI,QIA
RAHMAT ZUHDI. SE, M.SA,AK,QIA

ABSTRAK

Analisis Laporan Akuntabilitas KinerjaInstans iPemerintahan (LAKIP) sebagai pengukuran kinerja. Tujuan penelitian ini adalah untuk mengetahui Laporan Akuntabilitas Kinerja Instansi Pemerintahan (LAKIP) dalam mengukur kinerja. Sedangkan responden yang digunakan dalam penelitian ini adalah pegawai Pengadilan Negeri Mojokerto. Data yang digunakan merupakan data primer berupa LAKIP dan data sekunder berupa dokumen-dokumen anggaran dan realisasi serta literatur-literatur Pengadilan Negeri Mojokerto. Untuk mendapatkan data dilakukan dengan menggunakan pengamatan/observasi dan wawancara serta data-data pengumpulan dokumenter.
Hasil penelitian ini membuktikan Laporan Akuntabilitas Kinerja Instansi Pemerintahan (LAKIP)  sebagai ukuran kuantitatif atas pencapaian kinerja terhadap kegiatan penyelenggaran pencapaian sasaran program dan rencana kerja Pengadilan Negeri Mojokerto.
Kata Kunci :Laporan Akuntabilitas Kinerja Instansi Pemerintahan (LAKIP), Pengukuran Kinerja
 
"
"ANALISIS PENGARUH PERILAKU PEGAWAI PAJAK TERHADAP MINAT MELAKUKAN WHISTLEBLOWING 
(Studi kasus pada pegawai pajak di KPP Pratama Sidoarjo Selatan)",Penulis : Henry Bagus S,"Dosen Pembimbing I : Nurul Kompyurini SE, M.Ak., Ak","Dosen Pembimbing II :Gita Arasy Harwinda, SE., M.Tax., QIA","ABSTRAK
Henry Bagus S, Analisis Pengaruh Perilaku Pegawai pajak Terhadap Minat Melakukan Whistleblowing pada KPP Pratama Sidoarjo Selatan. Dibawah bimbingan Nurul Kompyurini, S.E., M.Ak., Ak dan Gita Arasy Harwida, S.E., Ak, M.Tax., QIA., CA.
      Analisis Pengaruh Perilaku pegawai pajak Terhadap Minat Melakukan Whistleblowing. Tujuan penelitian ini adalah untuk mengetahui perilaku pegawai pajak terhadap minat melakukan whistleblowing. Variabel dalam penelitian ini adalah sikap, norma subyektif, kontrol keprilakuan, dan kewajiban moral. Sedangkan responden yang digunakan dalam penelitian ini adalah pegawai pajak pada KPP Pratama Sidoarjo Selatan. Jumlah responden yang diambil sejumlah 76 responden. Data yang digunakan merupakan data primer yang diperoleh melalui penyebaran kuisioner. Pengolahan data dilakukan dengan menggunakan regresi linier berganda. Nilai koefisien determasi Adjust R square yang artinya 44,1% atau 0,441 dan sisanya 66,9% perilaku pegawai pajak melakukan minat whistleblowing dipengaruhi oleh variabel lain di luar variabel-variabel dependen yang digunakan dalam penelitian ini.
       Hasil penelitian ini membuktikan bahwa hipotesis yang dilakukan dengan menggunakan uji statistik secara simultan, menunjukkan bahwa semua variabel bebas berpengaruh secara signifikan terhadap variabel terikat. Sedangkan hasil uji secara parsial, menunjukkan bahwa variabel bebas yang berpengaruh yaitu Norma Subjektif, Kontrol Keprilakuan, Kewajiban Moral. Sedangkan variabel sikap tidak berpengaruh terhadap perilaku pegawai pajak melakukan whistleblowing.
Kata Kunci : Sikap, Norma Subyektif, Kontrol Keperilakuan, kewajiban Moral, dan Whistleblowing.
"
IMPLEMENTASI MURABABAH LOGAM MULIA PADA PEGADAIAN SYARIAH BANGKALAN,Penulis : Sitti Aisah,"Dosen Pembimbing I : Robiatul Auliyah, S.E., M.SA","Dosen Pembimbing II :Yuni Rimawati,SE.,M.SAk.,Ak","
Sitti Aisah, NIM. 08.02.211.00017, Program Studi Akuntansi, Fakultas Ekonomi, Universitas trunojoyo Madura. Skripsi ini tentang Implementasi Murabahah Logam Mulia di Unit Pegadaian Syariah. Dibawah Bimbingan Robiatul Auliyah, S.E., M.SA.

	Tujuan penelitian ini untuk mengetahui implementasi murabahah logam mulia di Unit Pegadaian Syariah. Apakah sesuai dengan prinsip syariah islam dengan mengacu pada Fatwa Dewan Syariah Nasional (DSN) dan mengacu pada PSAK No. 102.

	Penelitian ini dilakukan secara deskriptif dengan menggunakan metode wawancara dan observasi. Teknik penarikan kesimpulan menggunakan pengumpulan data, menganalisis data, mendeskripsikan data, dan menyimpulkan data, kemudian dianalisis berdasarkan Fatwa DSN MUI No. 04/DSN-MUI/IV/2000 dan PSAK No. 102.

	Hasil penelitian ini adalah: 1) Implementasi Murabahah logam mulia yang meliputi prosedur, akad dan marginnya sudah sesuai dengan Fatwa Dewan Syariah Nasional (DSN) No.04/DSN-MUI/IV/2000 tentang murabahah. 2) Perlakuan Akuntansi yang ada di Unit Pegadaian Syariah sudah sesuai berdasarkan PSAK No.102 meliputi pengakuannya dimana pada saat perolehan aset murabahah diakui sebagai persediaan sebesar harga perolehan. Pengukurannya dimana dalam pengukurannya aset murabahah setelah perolehan dinilai sebesar harga perolehan. Penyajiannya dalam penyajian ini piutang murabahah disajikan sebesar nilai yang dapat direalisasikan, serta pengungkapannya dimana pada harga jual yang sudah disepakati antara pihak Pegadaian dan nasabah ada selisih harga yang merupakan margin bagi pihak Pegadaian. Perlakuan Akuntansi yang ada di Pegadian Syariah Bangkalan sudah sesuai dengan PSAK No.102 tentang Murabahah yang meliputi pengukuran, penyajian, pengakuan dan pengungkapannya.
"
"ANALISIS PENGARUH PENGELOLAAN MODAL KERJA TERHADAP
PENINGKATAN LABA PROFITABILITAS PADA
(CV. AYORI SURABAYA)",Penulis : MEGA DEKASANI,"Dosen Pembimbing I : Fariyana kusumawati,S.E, M.Si","Dosen Pembimbing II :Rindah Febriyana Suryawati, SE,MAcc,Ak","ABSTRAK

Keseimbangan antara kebutuhan perusahaan dengan modal kerja perlu
diperhitungkan karena penetapan besarnya modal kerja berkaitan erat dengan
keuntungan yang akan dicapai. Kerugian akibat dana yang menganggur terjadi
jika modal kerja yang tersedia lebih besar dari kebutuhan, keuntungan akan kecil
jika modal kerja tidak dapat memenuhi kebutuhan yang di perlukan. Oleh karena
itu diperlukan pengelolaan modal kerja yang sesuai dengan kebutuhan
perusahaan agar tidak terjadi kelebihan ataupun kekurangan modal kerja yang
nantinya akan berimbas pada laba yang akan dihasilkan oleh perusahaan. CV.
Ayori Surabaya merupakan salah satu bentuk usaha yang menginginkan adanya
keseimbangan antara modal kerja dengan laba yang diperoleh. Untuk itu
diperlukan analisis hubungan antara modal kerja yang meliputi perputaran kas,
perputaran piutang dan perputaran persediaan terhadap laba (ROI). Maka
analisis yang tepat adalah dengan menggunakan analisis regresi linear
berganda. Analisis data dalam penelitian ini menggunakan metode analisis
kuantitatif, yaitu analisis yang dapat diklasifikasikan ke dalam kategori-kategori
yang berwujud angka yang dapat dihitung untuk menghasilkan penafsiran
perhitungan yang kokoh (Husein Umar, 2003). Penggunaan teknik regresi linear
berganda dikarenakan objek penelitian terdiri dari dua variabel (independen dan
dependen) yang memiliki hubungan. Variabel independen yang digunakan lebih
dari satu variabel. Variabel tersebut adalah: variabel perputaran kas, perputaran
piutang dan perputaran persediaan. Sedangkan variabel dependen yang
digunakan adalah variabel ROI. Dari hasil penelitian diperoleh bahwa data yang
akan diolah telah lulus uji asumsi klasik. Nilai kesesuaian yang diperoleh adalah
sebesar 0,291. Dari hasil penelitian juga diperoleh bahwa perputaran kas
berpengaruh terhadap laba (ROI) di CV. Ayori Surabaya, perputaran piutang tidak
berpengaruh terhadap laba (ROI) di CV. Ayori Surabaya, dan perputaran
persediaan tidak berpengaruh terhadap laba (ROI) di CV. Ayori Surabaya.

Kata Kunci : perputaran kas, perputaran piutang, perputaran persediaan, ROI"
"PENGARUH TINGKAT SUKU BUNGA DEPOSITO DAN BIAYA PROMOSI
TERHADAP KINERJA KEUANGAN PERBANKAN
(Studi Pada 10 Bank Umum Go Publik)",Penulis : HUSNUL KHOTIMAH,"Dosen Pembimbing I : Dr. Bambang Haryadi, S.E., M.Si. Ak.","Dosen Pembimbing II :Anis Wulandari, S.E., MSA., Ak.","Husnul Khotimah , NIM 09.02.2.1.1.00034 , "" Pengaruh Tingkat Suku Bunga Deposito dan Biaya Promosi Terhadap Kinerja Keuangan ( Studiesin 10 bank umum go public ) "" . Di bawah bimbingan Dr Bambang Haryadi , SE , Si . , Ak dan Anis Wulandari , SE , MSA . , Ak .
Tujuan dari penelitian ini adalah untuk detemine pengaruh bunga deposito dan biaya promosi terhadap kinerja keuangan yang telah dihitung melalui CAR , BOPO , LDR dan ROA . Penelitian kuantitatif dilakukan dengan mengambil 10 bank umum go public sebagai sampel dengan teknik sampling jenuh dimana semua populasi sampel dan teknik pengumpulan data dengan menggunakan data historis yang melaporkan tingkat bunga deposito dan biaya promosi sejak 2010-2012. Data dianalisis dengan menggunakan uji asumsi klasik ( uji normalitas , uji heteroskedastisitas , uji multikolonieritas ) dan uji hipotesis dengan analisis regresi berganda , koefisien determinasi , t - tes ( parsial ) dan uji F ( simultan ) .
Dari hasil pengujian di atas menunjukkan bahwa tingkat variabel independen deposito hanya memberikan pengaruh yang signifikan terhadap LDR ( loan to deposit ratio ) dan ROA ( return on asset ) karena nilai signifikansi dibawah 5 % . Sedangkan biaya variabel promosi mempengaruhi seluruh perbankan dan indikator kinerja keuangan CAR ( rasio kecukupan modal ) , BOPO ( biaya operasional dan pendapatan operasional ) , LDR ( loan to deposit ratio ) , dan ROA ( return on asset ) ."
FENOMENA PEMBAYARAN PBB PERDESAAN OLEH KEPALA DESA (STUDI KASUS DI KECAMATAN TRAGAH KABUPATEN BANGKALAN),Penulis : Hilyatun Nisak,"Dosen Pembimbing I : Nurul Herawati, S.E., M.Si","Dosen Pembimbing II :Rahmat Zuhdi, SE.MSA.AK.QIA","Tujuan penelitian fenomena pembayaran PBB perdesaan oleh kepala desa adalah untuk mengungkap peristiwa pembayaran PBB oleh Kepala desa, dan faktor-faktor yang mempengaruhinya. Serta membantu pemerintah untuk mencapai penerimaan dengan lebih optimal dan mencapai target yang sudah di tetapkan sebelumnya.Metode penelitian dalam penelitian ini adalah kualitatif dengan dasar teoritis yang bertumpu pada pendekatan fenomenologis. Data yang digunakan dalam penelitian ini adalah data primer, yaitu data yang diperoleh dari informan melalui tatap muka secara langsung yang berisi pertanyaan- pertanyaan mengenai hal yang berhubungan dengan penelitian. dan data pendukung Kementerian Keuangan berupa Daftar Himpunan Ketetapan Pajak dan pembayaran PBB  yang dipegang oleh Kepala Desa. Adapun teknik pengumpulan data yang dilakukan adalah melalui (1) wawancara kepada responden tidak terstruktur dan (2) dokumentasi. Peneliti menganalisa keseleruhan data tersebut berdasarkan teori dan UU PBB. hingga dapat menghasilkan simpulan yang berkenaan dengan obyek penelitian tersebut. Hasil penelitian mengungkap ada tiga penyebab yang mempengaruhi PBB perdesaan dibayar oleh kepala desa, (1) pembayaran PBB oleh kepala desa sudah membudaya dari dulu dan sulit untuk merubahnya, (2) takut dianggap korupsi oleh warga jika menagih PBB kepada warga (3) Kepala desa belum bisa merubah paradigma masyarakat yang berranggapan bahwa PBB adalah tanggung jawab Kepala desa. Simpulannya pembayaran PBB  dibayar oleh kepala desa di karenakan kurangnya pemahaman Kepala Desa mengenai UU PBB. Sedangkan yang mempengaruhi dari segi wajib pajak (warga desa) yaitu wajib pajak tidak tahu menahu soal pembayaran PBB bahkan tidak memperdulikannya, serta mereka merasa beruntung PBB terutangnya dibayar oleh kepala desa. Fenomena ini merupakan penyimpangan dengan peraturan maupun UU PBB yang berlaku. 

Kata kunci:   PBB, Kepala Desa, PBB terhutang.
"
PENERAPAN AUDIT OPERASIONAL TERHADAP FUNGSI SUMBER DAYA MANUSIA ( STUDI KASUS PADA YAYASAN MIFTAHUL ULUM SURABAYA),Penulis : Kurniawan,"Dosen Pembimbing I : Nur Hayati.,SE.,M.Sa.,Ak.,QIA","Dosen Pembimbing II :Anis Wulandari.,SE.,M.Sa.,Ak","Tujuan penelitian ini adalah untuk menilai keefektifan penyelenggaraan fungsi sumber daya manusia pada Yayasan Miftahul Ulum Surabaya melalui audit operasional. Ruang lingkup penelitian adalah perolehan, pengelolaan dan penghentian sumber daya manusia yang terdiri dari fungsi perencanaan SDM, fungsi rekrutmen, fungsi orientasi dan penempatan SDM, fungsi pelatihan dan pengembangan SDM, fungsi kompensasi dan fungsi pemutusan hubungan kerja. Penelitian menggunakan pendekatan kualitatif deskriptif. Data-data yang digunakan diperoleh melalui dokumen yayasan dan wawancara langsung dengan ketua dan wakil ketua yayasan beserta kepala sekolah Yayasan Miftahul Ulum Surabaya. Hasil penelitian menunjukkan bahwa semua fungsi sumber daya manusia yang diteliti fungsi perencanaan SDM, rekrutmen, fungsi orientasi dan penempatan SDM serta fungsi pelatihan dan pengembangan SDM telah berjalan secara efektif. Namun fungsi kompensasi dan fungsi pemutusan hubungan kerja  belum dilaksanakan secara efektif.
Kata kunci: Audit operasional, efektifitas, fungsi SDM 
"
